,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Difference
88,2018-05-29,35.90000153,37.75,35.43000031,36.56000137,5711300,0,0,1.84%
89,2018-05-30,37,37.38999939,36.29999924,37.06999969,3707200,0,0,0.19%
90,2018-05-31,37.33000183,37.58000183,36.45999908,36.74000168,3398500,0,0,-1.58%
91,2018-06-01,37,37.97999954,36.70999908,37.70000076,3516000,0,0,1.89%
92,2018-06-04,37.90000153,39.75,37.77999878,39.54000092,5992700,0,0,4.33%
93,2018-06-05,39.68999863,41.40000153,37.95000076,39.61999893,9968800,0,0,-0.18%
94,2018-06-06,40.38000107,41,39.40000153,40.68000031,6268600,0,0,0.74%
95,2018-06-07,40.95000076,41.11999893,38.38000107,39.27999878,7086700,0,0,-4.08%
96,2018-06-08,38,39.47000122,37.11000061,39.31999969,7156300,0,0,3.47%
97,2018-06-11,39.25,39.25,38.22999954,38.34000015,2966400,0,0,-2.32%
98,2018-06-12,38,39.20000076,37.54999924,38.56999969,3719400,0,0,1.50%
99,2018-06-13,38.70999908,39.90000153,38.41999817,39.86000061,3977300,0,0,2.97%
100,2018-06-14,39.20000076,39.75,38.47999954,38.54000092,3349300,0,0,-1.68%
101,2018-06-15,38.79999924,39.43999863,38.52000046,39.38999939,2880300,0,0,1.52%
102,2018-06-18,39.20000076,40.88000107,38.97000122,40.65000153,4454900,0,0,3.70%
103,2018-06-19,40.25,43.65000153,40.20999908,42.52999878,9309900,0,0,5.66%
104,2018-06-20,44.63000107,45.43999863,41.75,45.36000061,13372000,0,0,1.64%
105,2018-06-21,45.38999939,48.40999985,44.70000076,47.75999832,12577800,0,0,5.22%
106,2018-06-22,47.88999939,48.72000122,43.40000153,43.43000031,12945200,0,0,-9.31%
107,2018-06-25,43.08000183,44.88999939,41.08000183,41.45999908,8167700,0,0,-3.76%
108,2018-06-26,41.02000046,42.06999969,39.90000153,41.08000183,7152900,0,0,0.15%
109,2018-06-27,39.49000168,40.47000122,36.33000183,36.93000031,10334200,0,0,-6.48%
110,2018-06-28,36.5,40.59999847,36.16999817,40.50999832,10918400,0,0,10.99%
111,2018-06-29,40.75999832,41,37.68000031,38.41999817,8952500,0,0,-5.74%
112,2018-07-03,39.59999847,39.90999985,38.24000168,38.40000153,3893000,0,0,-3.03%
113,2018-07-04,38.24000168,39.02000046,37.86999893,38.65000153,1756100,0,0,1.07%
114,2018-07-05,39.65000153,40.20000076,38.93000031,39.70000076,4030100,0,0,0.13%
115,2018-07-06,39.40000153,39.75,38.93999863,39.36999893,2200400,0,0,-0.08%
116,2018-07-09,39.45000076,39.65999985,38.61000061,38.68999863,1971700,0,0,-1.93%
117,2018-07-10,38.75999832,38.86999893,37.88000107,38.09999847,2382900,0,0,-1.70%
118,2018-07-11,37.84999847,39.40000153,37.20000076,38.93999863,4444500,0,0,2.88%
119,2018-07-12,39.95000076,40.06000137,38.79999924,38.84999847,3397200,0,0,-2.75%
120,2018-07-13,38.84999847,38.95000076,37.5,37.77000046,3487700,0,0,-2.78%
121,2018-07-16,37.59999847,37.72000122,35.47000122,36.25,4333300,0,0,-3.59%
122,2018-07-17,36.02000046,36.09999847,34.70000076,34.79999924,4683300,0,0,-3.39%
123,2018-07-18,34.77999878,35.77000046,33.33000183,34.97999954,5172300,0,0,0.58%
